A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Loaded checkpoint from episode 850
Epsiode 851/10000 - Total Reward: 265.00
Epsiode 852/10000 - Total Reward: 445.00
Epsiode 853/10000 - Total Reward: 405.00
Epsiode 854/10000 - Total Reward: 195.00
Epsiode 855/10000 - Total Reward: 165.00
Epsiode 856/10000 - Total Reward: 70.00
Epsiode 857/10000 - Total Reward: 465.00
Epsiode 858/10000 - Total Reward: 50.00
Epsiode 859/10000 - Total Reward: 215.00
Epsiode 860/10000 - Total Reward: 240.00
Epsiode 861/10000 - Total Reward: 160.00
Epsiode 862/10000 - Total Reward: 250.00
Epsiode 863/10000 - Total Reward: 310.00
Epsiode 864/10000 - Total Reward: 55.00
Epsiode 865/10000 - Total Reward: 515.00
Epsiode 866/10000 - Total Reward: 185.00
Epsiode 867/10000 - Total Reward: 190.00
Epsiode 868/10000 - Total Reward: 390.00
Epsiode 869/10000 - Total Reward: 315.00
Epsiode 870/10000 - Total Reward: 145.00
Epsiode 871/10000 - Total Reward: 210.00
Epsiode 872/10000 - Total Reward: 45.00
Epsiode 873/10000 - Total Reward: 215.00
Epsiode 874/10000 - Total Reward: 190.00
Epsiode 875/10000 - Total Reward: 280.00
Epsiode 876/10000 - Total Reward: 190.00
Epsiode 877/10000 - Total Reward: 335.00
Epsiode 878/10000 - Total Reward: 405.00
Epsiode 879/10000 - Total Reward: 205.00
Epsiode 880/10000 - Total Reward: 175.00
Epsiode 881/10000 - Total Reward: 290.00
Epsiode 882/10000 - Total Reward: 30.00
Epsiode 883/10000 - Total Reward: 450.00
Epsiode 884/10000 - Total Reward: 210.00
Epsiode 885/10000 - Total Reward: 130.00
Epsiode 886/10000 - Total Reward: 20.00
Epsiode 887/10000 - Total Reward: 195.00
Epsiode 888/10000 - Total Reward: 105.00
Epsiode 889/10000 - Total Reward: 95.00
Epsiode 890/10000 - Total Reward: 220.00
Epsiode 891/10000 - Total Reward: 125.00
Epsiode 892/10000 - Total Reward: 140.00
